WYVERN|DRACFUN_WYVERN_ARMOR|8000000|s:DRACFUN_WYVERN_CORE|v:NETHERITE_CHESTPLATE|s:DRACFUN_WYVERN_CORE|d:draconium|d:draconium|d:draconium|d:draconium|s:DRACFUN_WYVERN_ENERGY_CORE|s:DRACFUN_WYVERN_ENERGY_CORE
DRACONIC|DRACFUN_DRACONIC_ARMOR|32000000|d:netherite|s:DRACFUN_WYVERN_ARMOR|s:DRACFUN_AWAKENED_CORE|d:netherite|d:awakenedDraconium|d:awakenedDraconium|d:netherite|s:DRACFUN_DRACONIC_ENERGY_CORE|d:netherite
CHAOTIC|DRACFUN_CHAOTIC_ARMOR|128000000|d:awakenedDraconium|s:DRACFUN_DRACONIC_ARMOR|s:DRACFUN_CHAOTIC_CORE|d:awakenedDraconium|d:awakenedDraconium|d:awakenedDraconium|d:awakenedDraconium|s:DRACFUN_CHAOTIC_ENERGY_CORE|d:awakenedDraconium
WYVERN|DRACFUN_WYVERN_AXE|8000000|d:draconium|v:NETHERITE_AXE|s:DRACFUN_WYVERN_CORE|d:draconium|s:DRACFUN_WYVERN_ENERGY_CORE|s:DRACFUN_WYVERN_ENERGY_CORE|d:draconium|s:DRACFUN_WYVERN_ENERGY_CORE|d:draconium
DRACONIC|DRACFUN_DRACONIC_AXE|32000000|d:netherite|s:DRACFUN_WYVERN_AXE|s:DRACFUN_AWAKENED_CORE|d:netherite|d:awakenedDraconium|d:awakenedDraconium|d:netherite|s:DRACFUN_DRACONIC_ENERGY_CORE|d:netherite
CHAOTIC|DRACFUN_CHAOTIC_AXE|128000000|d:awakenedDraconium|s:DRACFUN_DRACONIC_AXE|s:DRACFUN_CHAOTIC_CORE|d:awakenedDraconium|d:awakenedDraconium|d:awakenedDraconium|d:awakenedDraconium|s:DRACFUN_CHAOTIC_ENERGY_CORE|d:awakenedDraconium
WYVERN|DRACFUN_WYVERN_BOW|8000000|d:draconium|v:BOW|s:DRACFUN_WYVERN_CORE|d:draconium|s:DRACFUN_WYVERN_ENERGY_CORE|s:DRACFUN_WYVERN_ENERGY_CORE|d:draconium|s:DRACFUN_WYVERN_ENERGY_CORE|d:draconium
DRACONIC|DRACFUN_DRACONIC_BOW|32000000|d:netherite|s:DRACFUN_WYVERN_BOW|s:DRACFUN_AWAKENED_CORE|d:netherite|d:awakenedDraconium|d:awakenedDraconium|d:netherite|s:DRACFUN_DRACONIC_ENERGY_CORE|d:netherite
CHAOTIC|DRACFUN_CHAOTIC_BOW|128000000|d:awakenedDraconium|s:DRACFUN_DRACONIC_BOW|s:DRACFUN_CHAOTIC_CORE|d:awakenedDraconium|d:awakenedDraconium|d:awakenedDraconium|d:awakenedDraconium|s:DRACFUN_CHAOTIC_ENERGY_CORE|d:awakenedDraconium
WYVERN|DRACFUN_WYVERN_FLUX_CAPACITOR|8000000|d:draconium|s:DRACFUN_WYVERN_CORE|s:DRACFUN_WYVERN_ENERGY_CORE|d:draconium|s:DRACFUN_WYVERN_ENERGY_CORE|s:DRACFUN_WYVERN_ENERGY_CORE|d:draconium|s:DRACFUN_WYVERN_ENERGY_CORE|d:draconium
DRACONIC|DRACFUN_DRACONIC_FLUX_CAPACITOR|32000000|d:awakenedDraconium|s:DRACFUN_WYVERN_FLUX_CAPACITOR|s:DRACFUN_DRACONIC_ENERGY_CORE|d:awakenedDraconium|s:DRACFUN_DRACONIC_ENERGY_CORE|s:DRACFUN_DRACONIC_ENERGY_CORE|d:awakenedDraconium|s:DRACFUN_DRACONIC_ENERGY_CORE|d:awakenedDraconium
CHAOTIC|DRACFUN_CHAOTIC_FLUX_CAPACITOR|128000000|d:awakenedDraconium|s:DRACFUN_DRACONIC_FLUX_CAPACITOR|s:DRACFUN_CHAOTIC_ENERGY_CORE|d:awakenedDraconium|s:DRACFUN_CHAOTIC_ENERGY_CORE|s:DRACFUN_CHAOTIC_ENERGY_CORE|d:awakenedDraconium|s:DRACFUN_CHAOTIC_ENERGY_CORE|d:awakenedDraconium
WYVERN|DRACFUN_WYVERN_HOE|8000000|d:draconium|v:NETHERITE_HOE|s:DRACFUN_WYVERN_CORE|d:draconium|s:DRACFUN_WYVERN_ENERGY_CORE|s:DRACFUN_WYVERN_ENERGY_CORE|d:draconium|s:DRACFUN_WYVERN_ENERGY_CORE|d:draconium
DRACONIC|DRACFUN_DRACONIC_HOE|32000000|d:netherite|s:DRACFUN_WYVERN_HOE|s:DRACFUN_AWAKENED_CORE|d:netherite|d:awakenedDraconium|d:awakenedDraconium|d:netherite|s:DRACFUN_DRACONIC_ENERGY_CORE|d:netherite
CHAOTIC|DRACFUN_CHAOTIC_HOE|128000000|d:awakenedDraconium|s:DRACFUN_DRACONIC_HOE|s:DRACFUN_CHAOTIC_CORE|d:awakenedDraconium|d:awakenedDraconium|d:awakenedDraconium|d:awakenedDraconium|s:DRACFUN_CHAOTIC_ENERGY_CORE|d:awakenedDraconium
WYVERN|DRACFUN_WYVERN_PICKAXE|8000000|d:draconium|v:NETHERITE_PICKAXE|s:DRACFUN_WYVERN_CORE|d:draconium|s:DRACFUN_WYVERN_ENERGY_CORE|s:DRACFUN_WYVERN_ENERGY_CORE|d:draconium|s:DRACFUN_WYVERN_ENERGY_CORE|d:draconium
DRACONIC|DRACFUN_DRACONIC_PICKAXE|32000000|d:netherite|s:DRACFUN_WYVERN_PICKAXE|s:DRACFUN_AWAKENED_CORE|d:netherite|d:awakenedDraconium|d:awakenedDraconium|d:netherite|s:DRACFUN_DRACONIC_ENERGY_CORE|d:netherite
CHAOTIC|DRACFUN_CHAOTIC_PICKAXE|128000000|d:awakenedDraconium|s:DRACFUN_DRACONIC_PICKAXE|s:DRACFUN_CHAOTIC_CORE|d:awakenedDraconium|d:awakenedDraconium|d:awakenedDraconium|d:awakenedDraconium|s:DRACFUN_CHAOTIC_ENERGY_CORE|d:awakenedDraconium
