AOE|BASIC|v:PISTON|d:draconium|v:PISTON|s:DRACFUN_DRACONIC_CORE|s:DRACFUN_MODULE_CORE|s:DRACFUN_DRACONIC_CORE|v:PISTON|d:draconium|v:PISTON
AOE|WYVERN|d:draconium|v:NETHERITE_SCRAP|d:draconium|s:DRACFUN_BASIC_AOE_MODULE|s:DRACFUN_WYVERN_CORE|s:DRACFUN_BASIC_AOE_MODULE|d:draconium|v:NETHERITE_SCRAP|d:draconium
AOE|DRACONIC|d:netherite|d:awakenedDraconium|d:netherite|s:DRACFUN_WYVERN_AOE_MODULE|s:DRACFUN_AWAKENED_CORE|s:DRACFUN_WYVERN_AOE_MODULE|d:netherite|d:awakenedDraconium|d:netherite
AOE|CHAOTIC|d:netherite|d:awakenedDraconium|d:netherite|s:DRACFUN_DRACONIC_AOE_MODULE|s:DRACFUN_CHAOTIC_CORE|s:DRACFUN_DRACONIC_AOE_MODULE|d:netherite|d:awakenedDraconium|d:netherite
ARROW_DAMAGE|WYVERN|d:draconium|p:STRENGTH|d:draconium|s:DRACFUN_DRACONIC_CORE|s:DRACFUN_MODULE_CORE|s:DRACFUN_DRACONIC_CORE|d:draconium|v:SPECTRAL_ARROW|d:draconium
ARROW_DAMAGE|DRACONIC|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_WYVERN_ARROW_DAMAGE_MODULE|s:DRACFUN_WYVERN_CORE|s:DRACFUN_WYVERN_ARROW_DAMAGE_MODULE|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET
ARROW_DAMAGE|CHAOTIC|d:smallChaos|d:smallChaos|d:smallChaos|s:DRACFUN_DRACONIC_ARROW_DAMAGE_MODULE|s:DRACFUN_AWAKENED_CORE|s:DRACFUN_DRACONIC_ARROW_DAMAGE_MODULE|d:smallChaos|d:smallChaos|d:smallChaos
ARROW_GRAVITY|WYVERN|d:draconium|p:SLOW_FALLING|d:draconium|s:DRACFUN_DRACONIC_CORE|s:DRACFUN_MODULE_CORE|s:DRACFUN_DRACONIC_CORE|d:draconium|v:SPECTRAL_ARROW|d:draconium
ARROW_GRAVITY|DRACONIC|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_WYVERN_ARROW_GRAVITY_MODULE|s:DRACFUN_WYVERN_CORE|s:DRACFUN_WYVERN_ARROW_GRAVITY_MODULE|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET
ARROW_GRAVITY|CHAOTIC|d:smallChaos|d:smallChaos|d:smallChaos|s:DRACFUN_DRACONIC_ARROW_GRAVITY_MODULE|s:DRACFUN_AWAKENED_CORE|s:DRACFUN_DRACONIC_ARROW_GRAVITY_MODULE|d:smallChaos|d:smallChaos|d:smallChaos
ARROW_IMMUNITY|DRACONIC|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|v:WITHER_SKELETON_SKULL|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_WYVERN_CORE|s:DRACFUN_MODULE_CORE|s:DRACFUN_WYVERN_CORE|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|v:ENDER_PEARL|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET
